"fullname","num_unique_author_inblock","num_citaion_in_block","block_size","is_top100_chinese_name"
"li, wan",6,87,14.5,0
"bo, ji",3,41,13.666666666666666,0
"bo, jing",3,31,10.333333333333334,0
"chen, qi",4,9,2.25,0
"bo, wan",3,10,3.3333333333333335,0
"hao, wen",5,79,15.8,0
"ping, an",3,58,19.333333333333332,0
"li, ji",3,23,7.666666666666667,0
"li, jing",5,17,3.4,0
"lei, ge",3,94,31.333333333333332,0
"zhe, ji",3,38,12.666666666666666,0
"yu, hong",5,36,7.2,0
"wei, ji",7,291,41.57142857142857,0
"tae, kim",4,48,12,0
"lei, shu",3,444,148,0
"jing, qi",4,18,4.5,0
"han, bao",3,52,17.333333333333332,0
"wei, qi",6,53,8.833333333333334,0
"ying, ge",4,39,9.75,0
"ji, qi",7,92,13.142857142857142,0
"yi, pei",3,32,10.666666666666666,0
"yi, hong",4,18,4.5,0
"le, qi",3,8,2.6666666666666665,0
"li, rong",4,40,10,0
"bo, wen",8,160,20,0
"deepa, r",3,9,3,0
"yi, bao",3,20,6.666666666666667,0
"jin, lee",5,34,6.8,0
"li, xin",4,14,3.5,0
"hao, yi",3,63,21,0
"wen, wen",4,18,4.5,0
"jun, lee",5,32,6.4,0
"anh, le",6,47,7.833333333333333,0
"jun, abe",3,37,12.333333333333334,0
"xin, qi",9,70,7.777777777777778,0
"vu, tran",3,23,7.666666666666667,0
"vivek, s",3,10,3.3333333333333335,0
"deepa, s",3,13,4.333333333333333,0
"jun, yi",3,29,9.666666666666666,0
"sun, kim",4,87,21.75,0
"ian, law",3,190,63.333333333333336,0
"chen, qu",3,38,12.666666666666666,0
"qi, qi",7,42,6,0
"bo, qiao",3,21,7,0
"feng, an",3,17,5.666666666666667,0
"jae, lee",5,48,9.6,0
"won, lee",3,35,11.666666666666666,0
"jie, mei",3,21,7,0
"ho, lee",3,33,11,0
"viet, le",3,41,13.666666666666666,0
"wei, ge",4,20,5,0
"hao, qu",3,11,3.6666666666666665,0
"yu, cong",3,14,4.666666666666667,0
"jun, ai",3,18,6,0
"bo, zeng",3,88,29.333333333333332,0
"yu, mu",3,17,5.666666666666667,0
"lei, ji",5,57,11.4,0
"yue, qi",4,49,12.25,0
"wu, wen",3,13,4.333333333333333,0
"lu, an",3,36,12,0
"ke, ning",3,40,13.333333333333334,0
"dan, wan",3,10,3.3333333333333335,0
"jin, wen",3,90,30,0
"lin, qi",3,12,4,0
"tao, lan",3,23,7.666666666666667,0
"wei, you",3,152,50.666666666666664,0
"arun, a",3,13,4.333333333333333,0
"yi, qi",4,17,4.25,0
"amy, lee",5,270,54,0
"tao, wan",3,35,11.666666666666666,0
"li, an",3,35,11.666666666666666,0
"wei, rao",3,25,8.333333333333334,0
"ali, ali",3,23,7.666666666666667,0
"yan, ge",3,15,5,0
"peng, yi",4,29,7.25,0
"ana, paz",3,25,8.333333333333334,0
"nam, kim",3,22,7.333333333333333,0
"yuan, qi",3,10,3.3333333333333335,0
"jun, wen",5,64,12.8,0
"min, yi",3,105,35,0
"jun, wan",5,146,29.2,0
"yu, lan",4,199,49.75,0
"jim, lee",4,31,7.75,0
"wei, mei",3,15,5,0
"ben, niu",3,39,13,0
"li, min",3,53,17.666666666666668,0
"yu, qi",5,28,5.6,0
"di, zeng",3,21,7,0
"yang, bo",3,10,3.3333333333333335,0
"bo, pang",11,74,6.7272727272727275,0
"tao, wen",5,50,10,0
"lei, ni",3,43,14.333333333333334,0
"li, jun",3,8,2.6666666666666665,0
"kai, wen",3,12,4,0
"wei, hua",4,79,19.75,0
"wei, si",3,40,13.333333333333334,0
"lei, wan",3,17,5.666666666666667,0
"yang, qi",3,28,9.333333333333334,0
"bo, ning",4,64,16,0
"jun, ni",4,36,9,0
"duy, le",3,22,7.333333333333333,0
"han, pu",3,48,16,0
"da, huo",3,12,4,0
"hao, yue",3,10,3.3333333333333335,0
"babu, s",3,64,21.333333333333332,0
"lu, ke",3,14,4.666666666666667,0
"hui, ji",3,77,25.666666666666668,0
"bin, ji",4,101,25.25,0
"lu, gan",3,32,10.666666666666666,0
"yong, yi",3,21,7,0
"yu, ji",5,31,6.2,0
"yu, jing",4,47,11.75,0
"feng, qu",4,28,7,0
"anand, r",4,35,8.75,0
"jae, kim",4,29,7.25,0
"xin, qu",3,19,6.333333333333333,0
"yu, wan",3,11,3.6666666666666665,0
"lei, bi",3,101,33.666666666666664,0
"yi, you",3,30,10,0
"wei, chu",3,233,77.66666666666667,0
"kim, le",3,11,3.6666666666666665,0
"ning, an",4,31,7.75,0
"bo, hong",3,55,18.333333333333332,0
"jie, bao",4,137,34.25,0
"fei, qi",5,302,60.4,0
"bo, pu",3,24,8,0
"yi, wan",4,94,23.5,0
"peng, xi",4,74,18.5,0
"jun, qi",3,8,2.6666666666666665,0
"thuy, le",3,8,2.6666666666666665,0
"dong, an",3,11,3.6666666666666665,0
"nam, le",3,33,11,0
"peng, ji",6,33,5.5,0
"nam, vu",3,13,4.333333333333333,0
"jing, an",3,12,4,0
"xin, ju",3,98,32.666666666666664,0
"yi, sui",4,72,18,0
"ting, qi",3,28,9.333333333333334,0
"jun, kim",4,141,35.25,0
"avik, de",3,38,12.666666666666666,0
"li, dan",4,12,3,0
"hai, le",4,62,15.5,0
"chao, qi",4,21,5.25,0
"ben, lee",3,53,17.666666666666668,0
"tri, le",3,9,3,0
"xin, lai",3,69,23,0
"qi, zeng",4,35,8.75,0
"yu, nie",3,49,16.333333333333332,0
"xin, yi",4,63,15.75,0
"jin, kim",3,28,9.333333333333334,0
"chen, ji",3,42,14,0
"li, hui",5,389,77.8,0
"wei, wen",4,73,18.25,0
"yu, guan",5,48,9.6,0
"huy, do",3,17,5.666666666666667,0
"yun, ji",3,9,3,0
"jun, mei",3,92,30.666666666666668,0
"bo, lan",5,24,4.8,0
"alex, ng",3,63,21,0
"xu, bao",3,18,6,0
"wei, yi",5,102,20.4,0
"li, jie",3,12,4,0
"qi, an",3,27,9,0
"feng, qi",5,49,9.8,0
"ming, ni",3,56,18.666666666666668,0
"xiao, yi",3,14,4.666666666666667,0
"yi, zeng",3,62,20.666666666666668,0
"yu, qiao",4,62,15.5,0
"hong, ji",4,40,10,0
"yang, ge",4,22,5.5,0
"xin, wan",3,13,4.333333333333333,0
"he, wen",3,40,13.333333333333334,0
