"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-7115-2621","53e9b6abb7602d9704226918","ulson de souza","ulson de souza","antonio augusto ulson de souza","antônio augusto ulson de souza","selene maria de arruda guelli ulson de souza"
"0000-0003-3572-3105","56f605350cf2d36f21761b93","gregory-evans","gregory-evans","kevin gregory-evans","gregory-evans kevin","gregory-evans cheryl y"
"0000-0002-0782-6564","55a687ba65ce054aad6ab695","maria grazia","maria grazia","maria grazia dente","dente maria grazia","pompa maria grazia"
"0000-0001-9606-1286","53e9b701b7602d9704298a46","janusz chruściel","chruściel","janusz chruściel","janusz chruściel","mirosława ossowska-chruściel"
"0000-0003-3795-5356","57dca4e60cf2e814d2c99c09","cetinkaya","cetinkaya","servet cetinkaya","cetinkaya servet","cetinkaya yasemin fatma"
"0000-0002-3959-004X","5c0f7fcbda562944ac8427b5","christine goffinet","christine","christine goffinet","christine goffinet","christine s falk"
"0000-0001-8077-0141","56d8edacdabfae2eee60c8ca","mohammad","mohammad","mohammad mazloum-ardakani","mohammad mazloumardakani","mohammad abdollahialibeik"
"0000-0002-9764-6734","56d8f697dabfae2eee9734cf","mohammad atai","mohammad","mohammad atai","mohammad atai","mohammad imani"
"0000-0002-9302-5025","56d8fb1fdabfae2eeeb38510","tomoyuki koganezawa","tomoyuki","tomoyuki koganezawa","tomoyuki koganezawa","tomoyuki ikai"
"0000-0001-6896-8024","56d8eb1edabfae2eee50d53f","michael","michael","michael gore","michael a gore","michael e salvucci"
"0000-0001-7040-1836","55a4ce1b65ceb7cb02d8b05e","antoine","antoine","antoine mottier","mottier antoine","serpentini antoine"
"0000-0001-7290-0348","5c0f775bda562944ac718ade","bertoldi","eduardo","eduardo bertoldi","eduardo g bertoldi","luis eduardo p rohde"
"0000-0003-0867-5873","55a42b4bc91b587b096f369e","de giorgio","roberto","roberto de giorgio","de giorgio roberto","corinaldesi roberto"
"0000-0002-7297-1477","53e9abc4b7602d9703575ab4","ken hayashi","hayashi","ken hayashi","ken hayashi","hideyuki hayashi"
"0000-0002-3126-1110","53e9b4bab7602d9703fd3b17","andrzej pazur","andrzej","andrzej pazur","andrzej pazur","andrzej szelmanowski"
"0000-0001-6860-1222","53e9b891b7602d97044675ab","ayşe karaman","karaman","ayşe karaman","ayşe karaman","ibrahim karaman"
"0000-0001-6787-0594","53e9a335b7602d9702c3df8b","stefano bettati","stefano","stefano bettati","stefano bettati","stefano bruno"
"0000-0002-9945-9027","53e9acd2b7602d97036acfd3","larissa de lima alves","larissa","larissa de lima alves","larissa de lima alves","larissa vargas becker"
"0000-0003-3816-8792","5c0f79a2da562944ac76c8cf","hossein asgarian-omran","hossein","hossein asgarian-omran","hossein asgarian-omran","hadi hossein-nataj"
"0000-0002-3482-3182","53e99fe9b7602d97028c683e","steven","steven","steven allen","steven l. allen","steven c. ernest"
"0000-0003-3907-0033","53e9b59ab7602d97040ddc60","warren","zigman","warren zigman","warren b. zigman","april zigman"
"0000-0002-9245-6229","55a6d17265ce054aad770788","kamdar","kamdar","biren kamdar","kamdar biren b","kamdar bharat s"
"0000-0002-7405-551X","56d8f3d4dabfae2eee862945","kozyukhin","sergey","sergey kozyukhin","s a kozyukhin","sergey a sokolov"
"0000-0002-2511-5854","56d865afdabfae2eee9e4582","bahman anvari","bahman","bahman anvari","bahman anvari","baharak bahmani"
"0000-0002-7847-3727","56d82a35dabfae2eeef769af","makoto uchida","uchida","makoto uchida","makoto uchida","hiroyuki uchida"
"0000-0002-9798-6413","53e9a60ab7602d9702f36c59","damian refojo","damian","damian refojo","damian refojo","damiana giacomini"
"0000-0002-5714-7295","53e99e6ab7602d970272f9a0","silvia uccella","silvia","silvia uccella","silvia uccella","silvia franceschetti"
"0000-0002-8306-5357","55a3dab265ce5cd7b3ba6473","islam","islam","dr shofiqul islam","islam shofiqul","islam m rafiqul"
"0000-0002-7345-4084","56d83334dabfae2eee2f8c7a","foster","david","david foster","david j r foster","david hayes"
"0000-0001-9909-7233","55a4e70d65ceb7cb02db8a1b","harrison","megan","megan harrison","harrison megan","apsimon megan"
"0000-0002-5349-4513","55a3e3f865ce5cd7b3bba5fc","zimmerman","peter","peter zimmerman","zimmerman peter a","siba peter m"
"0000-0002-4970-6755","56d8341cdabfae2eee349c28","jonne kotta","kotta","jonne kotta","jonne kotta","ilmar kotta"
"0000-0002-7936-9892","5c0f728bda562944ac664d08","manish kumar","kumar","manish kumar","manish kumar","bandana kumari"
"0000-0001-7931-9652","53e9bb52b7602d97047901e7","sundaram singh","singh","sundaram singh","sundaram singh","satish kumar singh"
"0000-0001-9812-7410","56d89a2edabfae2eee305ac7","kvist lindholm","sofia","sofia kvist lindholm","kvist lindholm","sofia"
"0000-0003-3925-924X","5c0f90e9da562944aca88d7b","karel Šindelka","karel","karel Šindelka","karel Šindelka","karel procházka"
"0000-0001-9285-7535","5c0f802bda562944ac8512d6","abdelrahman ahmed","ahmed","abdelrahman ahmed","abdelrahman ahmed","ahmed subahi"
"0000-0002-0027-2001","5c0f7584da562944ac6d6b9d","wang","wang","wang gang","gang wang","jun-jie wang"
"0000-0002-6092-1261","53e9b9c0b7602d97045b2b91","kuan","kuan","hsuchiang kuan","hsu-chiang kuan","chen-feng kuan"
"0000-0002-1220-0814","56d9177ddabfae2eee635923","yamada","nami","nami yamada","n yamada","minami kumazaki"
"0000-0002-8296-6540","56d81d83dabfae2eeea4bf1f","grundy","will","will grundy","william m grundy","marc william buie"
"0000-0002-9813-0342","53e9a3a5b7602d9702cb7d97","gordon","fain","gordon fain","gordon l. fain","margery j. fain"
"0000-0002-6735-9195","55a4d40a65ceb7cb02d93266","liyong","chen","liyong chen","chen liyong","chen hongyu"
"0000-0002-8118-7019","5c0f7c2cda562944ac7ca206","fangjun","wang","wang fangjun","fangjun wang","wenda wang"
"0000-0002-4440-3632","53e9bd92b7602d9704a3774e","moloney","mark","mark moloney","mark g. moloney","mark hughes"
"0000-0002-2867-8265","59dadf3d0cf293a091fd5458","suschak","john","john suschak","suschak john j","schmaljohn connie s"
"0000-0002-1448-673X","5c363a04df5b8c0b3c3b3c6b","fanghui","wang","fanghui wang","fanghui wang","yanan wang"
"0000-0002-7932-8265","55a3f12f65ce5cd7b3bdf8f8","filppula","anne","anne filppula","filppula anne m","backman janne t"
"0000-0002-9892-2753","55a4894065ce31bc877dfbbd","lawrence","john","john lawrence","lawrence john","girton john"
"0000-0002-0443-4231","5488e3ee45ce147a86e3d2c8","lei wang","wang","lei wang","lei wang","zhenggong wang"
"0000-0002-6035-1828","5c0f7d32da562944ac7f0c4d","jin zhao","zhao","jin zhao","jin zhao","zhihui zhao"
"0000-0002-9579-3503","59bf30390cf2c386f2513cf7","bo young","choi","bo young choi","choi bo young","choi hui chul"
"0000-0002-0899-5271","56d84ab5dabfae2eeed347b0","shlyakova","olga","olga shlyakova","olga a shlyakova","olga v senokosova"
"0000-0001-7633-8284","5c0f8970da562944ac9916eb","feng wang","wang","feng wang","feng wang","yuancheng wang"
"0000-0002-2191-6558","53e9aab6b7602d9703430827","qing chen","chen","qing chen","qing chen","jianhua cheng"
"0000-0001-8502-966X","5488daa545ce147a86dc741b","feifei wang","wang","feifei wang","feifei wang","tao wang"
"0000-0002-0217-0666","5c2ab2f83a55ac6e737232da","jixian zhai","zhai","jixian zhai","jixian zhai","yi zhai"
"0000-0001-8472-8805","56ae9a8d0cf2a8c8f7148981","yansong shen","shen","yansong shen","yansong shen","sheng chew"
"0000-0001-6001-7363","56d83c62dabfae2eee6769ac","ranajay saha","saha","ranajay saha","ranajay saha","s r saha"
"0000-0002-4516-2500","53e9a0b5b7602d970299d743","mingkui wang","wang","mingkui wang","mingkui wang","deyu wang"
"0000-0001-6672-0279","53e9a2a5b7602d9702bacbaf","erik larsson","erik","erik larsson","erik larsson","erik jan marinissen"
"0000-0002-8348-392X","53e9a734b7602d97030690b8","shiguang shan","shan","shiguang shan","shiguang shan","qingshan liu"
"0000-0001-8827-162X","53e9bb08b7602d9704744586","kwangsung park","park","kwangsung park","kwangsung park","jong kwan park"
"0000-0001-7309-6005","53e99d6cb7602d9702627890","ian","ian","ian law","ian h. law","dianne l. atkins"
"0000-0001-7869-8152","53e9aac3b7602d9703440d8b","kim","kim","sunworl kim","sun-worl kim","soo-hyung kim"
"0000-0001-9316-8504","55a60e9065cead59c833a5bd","hsiu-li","lin","hsiu-li lin","lin hsiu-li","lin herng-ching"
"0000-0002-7651-8549","56d83235dabfae2eee29a458","fei dai","fei","fei dai","fei dai","fei luo"
"0000-0003-3471-7512","56d82116dabfae2eeebcd3b5","skerratt","lee","lee skerratt","lee f skerratt","lee r berger"
"0000-0002-2706-6208","55323e6a45cec66b6f9e38ea","erwu liu","liu","erwu liu","erwu liu","fuqiang liu"
"0000-0003-2396-7225","53e9b4bfb7602d9703fd669d","xuemin lin","lin","xuemin lin","xuemin lin","lin wu"
"0000-0002-9547-8466","53e9b650b7602d97041b0b81","minseo kim","kim","minseo kim","minseo kim","jeounghoon kim"
"0000-0001-9125-9541","53e99d74b7602d970262edc5","sanghee kim","kim","sanghee kim","sanghee kim","eunkyung kim"
"0000-0003-4826-7954","5c0f793bda562944ac75e394","hyo-jong lee","lee","hyo-jong lee","hyo-jong lee","ho-young lee"
"0000-0002-0315-2080","53e99dd3b7602d9702691e58","jeong-hoon lee","lee","jeong-hoon lee","jeong-hoon lee","jeong min lee"
"0000-0001-8243-5267","55a6bcfd65ce054aad73a708","jun","li","jun li","li jun","liu liang"
"0000-0002-9159-6385","53e9a7cfb7602d970310f4de","jin","yi","yi jin","jin yi","zhu yibo"
"0000-0002-5358-8931","53e9ab69b7602d970350a432","hai","le","hai le","hai p. le","lord k. cole"
"0000-0002-9303-7480","5488deb745ce147a86df11a4","yu zuo","yu","yu zuo","yu zuo","xiangyu lü."
"0000-0002-7210-8358","5c1369ffda56295a08a406e6","rui li","li","rui li","rui li","bo li"
"0000-0003-0044-1917","55a4b7be65ceb7cb02d6ca9f","wenjun","wu","wenjun wu","wu wenjun","wu yongzhen"
"0000-0002-1924-0413","5ad5a989e84a60108d83e640","chenlei li","li","chenlei li","chenlei li","mei liu"
"0000-0002-7587-0153","5c0f866cda562944ac930a6c","xianguo li","li","xianguo li","xianguo li","zonglin yang"
"0000-0002-9584-2416","56d820cddabfae2eeebaed16","haridass","m","haridass m","m haridass","r arumuganathan"
