"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0001-8636-3870",2766946881,"frédéric lardeux","frédéric","frédéric lardeux","frédéric lardeux","frédéric saubion"
"0000-0002-2070-7594",1599943566,"christian","christian","christian nayeri","christian navid nayeri","christian oliver paschereit"
"0000-0002-4055-0395",2095279271,"toomasian","toomasian","john toomasian","john m. toomasian","cory j. toomasian"
"0000-0002-9989-5144",2025907536,"hiroyuki yanai","hiroyuki","hiroyuki yanai","hiroyuki yanai","hiroyuki nose"
"0000-0002-6804-8081",2320267882,"hiroyuki sawada","hiroyuki","hiroyuki sawada","hiroyuki sawada","hiroyuki ieki"
"0000-0003-1184-7883",2469426073,"bertrand illien","bertrand","bertrand illien","bertrand illien","bertrand payet"
"0000-0002-5136-7094",2566921580,"suzana cristina","de paiva","suzana cristina de paiva","suzana cristina fernandes de paiva","claudio cesar de paiva"
"0000-0003-1483-2580",2312634587,"ibrahim bozgeyik","bozgeyik","ibrahim bozgeyik","ibrahim bozgeyik","esra bozgeyik"
"0000-0003-3744-6535",1542302362,"grzegorz owczarek","grzegorz","grzegorz owczarek","grzegorz owczarek","grzegorz gralewicz"
"0000-0003-0395-1314",2109581135,"françois simondon","simondon","françois simondon","françois simondon","kirsten b simondon"
"0000-0002-7557-2156",1983202690,"mohamed","mohamed","mohamed boussarsar","mohamed bousarssar","mohamed nour el attar"
"0000-0003-1267-6422",2346281268,"anthony","anthony","anthony etyang","anthony o. etyang","j. anthony g. scott"
"0000-0001-7342-6983",2002159134,"michael","garrick","michael garrick","michael d. garrick","laura m. garrick"
"0000-0001-7902-8951",2136750746,"iwona konopka","konopka","iwona konopka","iwona konopka","stanisław konopka"
"0000-0003-0593-5932",2790138419,"andrás abonyi","andrás","andrás abonyi","andrás abonyi","andrás hidas"
"0000-0002-5248-4620",2122820646,"augusto schrank","schrank","augusto schrank","augusto schrank","irene silveira schrank"
"0000-0002-6355-7282",2908832485,"dmitry","dmitry","dmitry bagrov","dmitry v. bagrov","dmitry v. klinov"
"0000-0003-2689-0278",2113668262,"miquel","miquel","miquel torrent sucarrat","miquel torrent-sucarrat","miquel duran"
"0000-0001-5126-045X",2047654846,"kaiser","kaiser","peter kaiser","peter k. kaiser","r. s. kaiser"
"0000-0002-9586-472X",2619552912,"estela","garcez","estela garcez","estela oliari garcez","monica regina garcez"
"0000-0003-0222-5273",2043434052,"sharma","sharma","dr mukesh chandra sharma","mukesh c. sharma","smita sharma"
"0000-0002-6504-5766",2156634101,"mishra","mishra","rajesh kumar mishra","rajesh k. mishra","rekha agarwal mishra"
"0000-0003-1178-8617",2211654116,"alireza ","sharif","alireza  sharif","alireza sharif","mohammad reza sharif"
"0000-0002-7017-8942",2743672867,"artênio ","garbin","artênio  garbin","artênio josé Ísper garbin","cléa adas saliba garbin"
"0000-0001-8375-2280",2058022120,"daniel molka","daniel","daniel molka","daniel molka","daniel hackenberg"
"0000-0002-0651-5393",2507785513,"davide rossi","davide","davide rossi","davide rossi","pasquale davide schiavone"
"0000-0003-1073-8546",2122890292,"holger puchta","puchta","holger puchta","holger puchta","waltraud schmidt-puchta"
"0000-0002-3669-3916",2883623089,"maciej dębski","maciej","maciej dębski","maciej dębski","maciej polak"
"0000-0002-1301-8694",2028327623,"markus wahrmann","markus","markus wahrmann","markus wahrmann","markus exner"
"0000-0002-6083-3552",2605348563,"andrew cochrane","andrew","andrew cochrane","andrew cochrane","andrew spann"
"0000-0002-6875-308X",2587728988,"marcin witkowski","marcin","marcin witkowski","marcin witkowski","marcin piotrowski"
"0000-0002-3159-0766",2134053019,"nicola benedetto","nicola","nicola benedetto","nicola benedetto","nicola di lorenzo"
"0000-0003-2635-2090",2509156733,"md. mizanur rahman","rahman","md. mizanur rahman","md. mizanur rahman","md. bokthier rahman"
"0000-0001-8651-2602",1541691781,"chang","chang","jung-chen chang","jung‐chen chang","tsyr‐huei chang"
"0000-0001-7510-9404",1524610104,"david","david","david mimno","david m. mimno","david bamman"
"0000-0002-2723-8671",1989511687,"sally","sally","sally power","sally a. power","sally r. gadsdon"
"0000-0002-6703-266X",2119364247,"frazer","kate ","kate  frazer","kate frazer","kate irving"
"0000-0001-6282-1240",2130307727,"daniel","neill","daniel neill","daniel b. neill","rebecca j. leeman-neill"
"0000-0002-4226-4448",967928555,"parvati","patel","parvati patel","parvati b. patel","tejas k. patel"
"0000-0001-7510-5526",2887333024,"pau redon","redon","pau redon","pau redon","josep redon"
"0000-0002-5537-9340",2520720077,"diogo casal","diogo","diogo casal","diogo casal","diogo pais"
"0000-0001-5555-4498",2895779100,"vanish kumar","kumar","vanish kumar","vanish kumar","suresh kumar"
"0000-0001-8315-5371",2760726346,"yanxia zhang","zhang","yanxia zhang","yanxia zhang","yanxu zhang"
"0000-0002-2179-2823",2528266199,"marat gafurov","marat","marat gafurov","marat gafurov","marat kamalov"
"0000-0002-5383-6085",2047419510,"helen weavers","helen","helen weavers","helen weavers","helen skaer"
"0000-0001-6031-4683",2167350669,"vadim sultanov","vadim","vadim sultanov","vadim sultanov","vadim atrazhev"
