"orcid","pm_id","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0001-5847-4784","27575940","francisco-javier gonzalez-barcala","francisco-javier","francisco-javier gonzalez-barcala","francisco-javier gonzalez-barcala","francisco-javier salgado"
"0000-0003-1787-1438","24961051","stjepanović","stjepanović","mihailo stjepanović","mihailo i stjepanović","mirjana m stjepanović"
"0000-0002-5975-0354","15326164","christopher cawthorne","christopher","christopher cawthorne","christopher cawthorne","christopher j ottley"
"0000-0002-1690-5352","28260245","walsh-buhi","walsh-buhi","eric walsh-buhi","eric r walsh-buhi","margaret walsh-buhi"
"0000-0002-7462-3150","26703367","olescowicz","gislaine ","gislaine  olescowicz","gislaine olescowicz","gislaine kuminek"
"0000-0002-8375-7468","26231479","francesco vairo","francesco","francesco vairo","francesco vairo","francesco maria fusco"
"0000-0002-0647-9556","24205470","susanna miettinen","miettinen","susanna miettinen","susanna miettinen","aimo miettinen"
"0000-0002-2342-5330","23662302","alexander rusanov","alexander","alexander rusanov","alexander rusanov","alexander tonevitsky"
"0000-0003-1437-214X","26647307","verdijk","robert m","robert m verdijk","rob m verdijk","robert m w hofstra"
"0000-0002-6978-542X","24098215","giovanni","roviello","giovanni roviello","giovanni n roviello","giuseppina roviello"
"0000-0003-4161-5573","26471720","jennifer","jennifer","jennifer white","jennifer r white","jennifer l waller"
"0000-0002-6408-718X","29353880","weickert","weickert","thomas weickert","thomas w weickert","cyndi shannon weickert"
"0000-0002-1281-113X","20082357","kazuhiro oiwa","kazuhiro","kazuhiro oiwa","kazuhiro oiwa","kazuhiro kohama"
"0000-0003-3455-1719","26228489","ismail burak gultekin","gultekin","ismail burak gultekin","ismail burak gultekin","serap gultekin"
"0000-0002-7209-1488","19273960","maria pascual","pascual","maria pascual","maria pascual","isabel pascual"
"0000-0001-6782-1581","28110616","richard crook","richard","richard crook","richard crook","richard issitt"
"0000-0001-8536-4986","26499307","andreas ludwig","andreas","andreas ludwig","andreas ludwig","andreas goetzenich"
"0000-0002-3586-3012","26625761","masoud sadeghi","sadeghi","masoud sadeghi","masoud sadeghi","edris sadeghi"
"0000-0001-7252-3431","22629303","andrew","andrew","andrew rhyne","andrew l rhyne","andrew w bruckner"
"0000-0001-6997-7977","26906802","morgan","morgan","kaye morgan","kaye s morgan","michael j morgan"
"0000-0002-5590-7545","19769365","belmain","steven","steven belmain","steven r belmain","philip c stevenson"
"0000-0002-2662-5717","20488668","manabu ohyama","manabu","manabu ohyama","manabu ohyama","manabu fujimoto"
"0000-0002-5403-9467","23200902","tomasz misztal","tomasz","tomasz misztal","tomasz misztal","tomasz rusak"
"0000-0002-0363-0337","23060507","gilles foucras","gilles","gilles foucras","gilles foucras","gilles meyer"
"0000-0001-7687-8811","19468742","alireza peyman","peyman","alireza peyman","alireza peyman","mohammadreza peyman"
"0000-0002-0313-2522","25620864","tomasz wróbel","tomasz","tomasz wróbel","tomasz wróbel","tomasz stachal"
"0000-0002-6251-0810","31783082","norihito uemura","uemura","norihito uemura","norihito uemura","maiko t uemura"
"0000-0002-3198-4458","27297851","evgeny fominskiy","evgeny","evgeny fominskiy","evgeny fominskiy","evgeny grigoryev"
"0000-0001-7907-5766","19640707","andrew sutherland","andrew","andrew sutherland","andrew sutherland","andrew r crawford"
"0000-0002-0075-6313","20156077","dilek","dilek","dilek gogas yavuz","dilek yavuz","dilek yazici"
"0000-0002-5930-4004","30710338","ransom","jason","jason ransom","jason i ransom","jason e bruggeman"
"0000-0003-0102-6459","29256499","angela","zhang","angela zhang","angela w zhang","jinny x zhang"
"0000-0001-9638-2768","24757116","burrell","james","james burrell","james r burrell","james b rowe"
"0000-0002-6644-3838","20042691","rebekah","lucas","rebekah lucas","rebekah a i lucas","samuel j e lucas"
"0000-0002-7235-505X","31049561","rui zhang","zhang","rui zhang","rui zhang","shenmei zhang"
"0000-0002-3264-990X","30774486","hua jiang","jiang","hua jiang","hua jiang","xinjun jiang"
"0000-0003-0940-037X","26025015","xue zhang","zhang","xue zhang","xue zhang","chong zhang"
"0000-0002-2298-1300","27259157","raivo uibo","raivo","raivo uibo","raivo uibo","raivo kolde"
"0000-0003-4239-0804","24512848","young yang","young","young yang","young yang","do-young yoon"
"0000-0002-0342-9422","29569997","bruna locci","bruna","bruna locci","bruna locci","bruna camilo turi"
"0000-0001-5771-5638","16150910","paolo ciana","paolo","paolo ciana","paolo ciana","paolo sparaciari"
"0000-0001-8312-1438","28883903","jordi merino","jordi","jordi merino","jordi merino","jordi salas-salvadó"
"0000-0003-3930-7037","25602857","gustavo silva","silva","gustavo silva","gustavo silva","nuno silva"
"0000-0003-1799-6716","26617571","liangju kuang","kuang","liangju kuang","liangju kuang","shihuan kuang"
"0000-0002-2975-7977","18576595","hai-long jiang","jiang","hai-long jiang","hai-long jiang","jiang-gao mao"
"0000-0003-0263-2856","31277682","ryan","ryan","ryan visee","ryan j visée","sukhvinder kalsi-ryan"
"0000-0002-3784-5301","14684338","glass","john","john glass","john i glass","robert b johnson"
"0000-0003-4093-7458","25704495","macey","paul","paul macey","paul m macey","paul m thompson"
"0000-0003-1441-5971","28265179","chunyan","wang","wang chunyan","chunyan wang","sheng wang"
"0000-0001-6843-6503","29703993","croarkin","paul","paul croarkin","paul e croarkin","paul a nakonezny"
"0000-0002-4104-4646","29454401","wei wang","wang","wei wang","wei wang","chunsong wang"
"0000-0002-6511-3570","24397481","wei fang","fang","wei fang","wei fang","zhifang hu"
"0000-0001-9325-3194","31289583","xin wang","wang","xin wang","xin wang","guowen wang"
"0000-0002-4304-5079","20362228","olga blau","blau","olga blau","olga blau","igor w blau"
"0000-0003-0803-6692","23812020","hema kini","kini","hema kini","hema kini","ullal anand kini"
"0000-0002-6430-3292","30116744","meng ding","meng","meng ding","meng ding","mengyao chao"
"0000-0002-3925-3828","23924605","anna haduch","anna","anna haduch","anna haduch","anna sadakierska-chudy"
"0000-0001-7068-5613","26268156","marc baldus","marc","marc baldus","marc baldus","marc a caporini"
"0000-0001-6476-5924","27199474","kari neemann","kari","kari neemann","kari neemann","kari simonsen"
"0000-0003-3368-7470","24566928","gin-shin chen","chen","gin-shin chen","gin-shin chen","jung-sung cheng"
"0000-0001-7432-847X","27110384","eric hachulla","eric","eric hachulla","eric hachulla","jacques-eric gottenberg"
"0000-0002-5373-9621","27216495","qingchao wang","wang","qingchao wang","qingchao wang","jia wang"
"0000-0003-0794-2386","21276240","neil pendleton","neil","neil pendleton","neil pendleton","terence w o'neill"
"0000-0002-0552-9363","26365666","jan","jan","jan votypka","jan votýpka","jan hanel"
"0000-0002-3568-2238","31060906","yu sun","sun","yu sun","yu sun","ye sun"
"0000-0001-8233-7149","28859632","zhe li","zhe","zhe li","zhe li","zhenzhen xiong"
"0000-0003-3777-0757","28427846","sartori","ana","ana sartori","ana marli christovam sartori","luciana bertholim nasciben"
"0000-0003-4199-1296","25681775","jian liu","liu","jian liu","jian liu","shen liu"
"0000-0003-1083-7958","26720462","fabian yap","yap","fabian yap","fabian yap","yap-seng chong"
"0000-0003-0317-3225","24288098","qingyu yan","yan","qingyu yan","qingyu yan","dan yang"
"0000-0001-6855-3136","20417678","ok-hwan lee","lee","ok-hwan lee","ok-hwan lee","boo-yong lee"
"0000-0001-5242-8189","27894815","xiaobing shi","shi","xiaobing shi","xiaobing shi","leilei shi"
"0000-0003-0901-708X","14594721","dong-yup lee","lee","dong-yup lee","dong-yup lee","sang yup lee"
"0000-0003-2514-8805","24922443","byeongdu lee","lee","byeongdu lee","byeongdu lee","sungsik lee"
"0000-0002-3837-9867","31500275","hyun-shik lee","lee","hyun-shik lee","hyun-shik lee","dong-seok lee"
"0000-0001-6051-6410","15195107","ng","ng","siok-bian ng","siok bian ng","stephanie fook-chong"
"0000-0003-2679-2547","30829493","yan","he","he yan","yan he","zhi zheng"
"0000-0002-7006-7433","27919529","yu li","li","yu li","yu li","jiaqi liu"
"0000-0001-7313-6740","29966413","yu liu","yu","yu liu","yu liu","yu zhang"
"0000-0002-0760-1357","21309553","wei an","an","wei an","wei an","zhongtao zhang"
