"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-4365-8940","1deb40509ed4e5083c49a1d9fc63a0273ff0476c","jean-pierre chaboureau","jean-pierre","jean-pierre chaboureau","jean-pierre chaboureau","jean-pierre pinty"
"0000-0002-0722-8599","5ab075eba04dda8a0d55987d0f4473c34d20bf83","meneghetti","meneghetti","mario meneghetti","mario roberto meneghetti","simoni m.p. meneghetti"
"0000-0003-2434-9429","a846da4d490be14a746ca92f93fd32e9a8372d98","stéphanie","stéphanie","stéphanie durand","stéphanie h durand","stéphanie cordeil"
"0000-0002-5146-4556","f13dae3f369a01831d63cbf046c07349887a036c","alessandro pilloni","alessandro","alessandro pilloni","alessandro pilloni","alessandro pisano"
"0000-0002-6019-3700","338b145710161f78c05e3e037ff5a134979500b5","litvinova","litvinova","tatyana litvinova","tatiana litvinova","olga litvinova"
"0000-0002-5296-7649","0afc5f297df2c2ce3b119124660fc799a80ef8f2","christian graeff","christian","christian graeff","christian graeff","christian richter"
"0000-0002-0921-6727","3ced69a406e713676fba49588142c1738ca3f9fa","stéphane bressanelli","stéphane","stéphane bressanelli","stéphane bressanelli","stéphane p roche"
"0000-0002-1858-8549","f8efe12a8ef06828653fd557c0bb17c43fd0d6d4","oliveira","oliveira","thiago oliveira","thiago m b f oliveira","e. m. s. oliveira"
"0000-0001-6863-8252","1fd2485309bfcd26042bb4cc5036fd82effc2f18","fernanda","fernanda","fernanda veruska narciso","fernanda versuka narciso","fernanda b. viégas"
"0000-0002-0396-0176","c45994d51594aa8a6b7ed297123af92e6b595a3a","ninkovic","ninkovic","srdjan ninkovic","srdjan m. ninkovic","vladan m. ninkovic"
"0000-0001-6425-6759","5bcc91c1147f3e0d122573ed3077a9720385746e","carolina","carolina","carolina vega-oliveros","carolina vega oliveros","carolina chegwin angarita"
"0000-0002-8061-3047","a755266ab063d6d335edc8b983a96193803b52e3","surmenev","surmenev","roman surmenev","roman a surmenev","maria a. surmeneva"
"0000-0002-1425-8323","0e31b98d40ce25903fae50ee5cbdc5c53e0a6be6","francesc sepulcre","francesc","francesc sepulcre","francesc sepulcre","francesc estrany"
"0000-0001-5419-5980","8ec56afffdd8aa38e3e8841e1165630ef2d53c69","ayansina ayanlade","ayanlade","ayansina ayanlade","ayansina ayanlade","oluwatoyin s. ayanlade"
"0000-0002-6684-4113","33a1f06f4ae19311401fedd8e383f1c9162de66c","giuseppe pascazio","giuseppe","giuseppe pascazio","giuseppe pascazio","giuseppe vannini"
"0000-0002-0135-480X","150fad25cb3402a3b8d80c3ea62e0fd9c1bce49b","jennifer southgate","jennifer","jennifer southgate","jennifer southgate","jennifer allison"
"0000-0001-5963-4647","94a63bd0e0bc4a64bd2cd9fe5612ad087945670c","giovanni romanelli","giovanni","giovanni romanelli","giovanni romanelli","giovanni salme'"
"0000-0003-2904-6611","b51eb3e37e71f74fbfd7a49c869d309ad5294176","yoshinori hasegawa","hasegawa","yoshinori hasegawa","yoshinori hasegawa","takanori hasegawa"
"0000-0003-1570-0707","3002a21f0ef6fe3aa1423475af91a2853ac49e00","michael","michael","michael reade","michael c reade","michael bailey"
"0000-0002-5771-2127","fde7420dbbfd49b4bd01939d39411210bfe2c072","shebeko","shebeko","alexey shebeko","aleksey shebeko","yu. n. shebeko"
"0000-0001-5941-9517","8c08de88ec494aa8be76b7ef8f3a80f879f2645c","richard","richard","richard gandour","richard d. gandour","richard h. ingraham"
"0000-0001-7574-2330","917538c981f0b015b9bdd7d68dd1d355a16234b0","lambiase","gaetano","gaetano lambiase","g lambiase and","gaetano scarpetta"
"0000-0002-6498-0437","8ae6cb0da3ac4442e60512d8cd9743e6fd64a1cf","sutherland","william","william sutherland","william j. sutherland","rich williams"
"0000-0001-9621-2443","765ceedde61332b033e7135a765e6a35f571b217","eduardo gaio","eduardo","eduardo gaio","eduardo gaio","jose eduardo trevizoli"
"0000-0003-4588-5845","f06f1bf8e6d8bd512761df92a04e97a8b1c5b32c","hiroshi moro","hiroshi","hiroshi moro","hiroshi moro","hiroshi mukae"
