IDX	Pmid	First_Author_Last_Name	First_Author_Initials
1	2138227	Smith	R
1	2859564	Smith	R
1	2938938	Smith	R
1	2975628	Smith	R
1	3557282	Smith	R
1	4011032	Smith	R
1	4069438	Smith	R
1	8473382	Smith	R
1	9709969	Smith	R
1	9786463	Smith	R
1	9914632	Smith	R
1	10048233	Smith	R
1	10443686	Smith	R
1	10949278	Smith	R
1	12220740	Smith	R
1	17127348	Smith	R
1	17229954	Smith	R
1	17991105	Smith	R
1	19258402	Smith	R
1	22408175	Smith	R
1	22682480	Smith	R
1	23338710	Smith	R
1	23452441	Smith	R
2	11550290	Smith	RD
2	12898660	Smith	RD
2	15298230	Smith	RD
2	15310662	Smith	R
2	15450706	Smith	RD
2	15702938	Smith	RD
2	15811541	Smith	RD
2	16098414	Smith	RD
2	16139909	Smith	RD
2	16200558	Smith	RD
2	16774293	Smith	RD
2	16824267	Smith	R
2	16840749	Smith	RD
2	16929470	Smith	RD
2	16978751	Smith	RD
2	17177324	Smith	RD
2	17328037	Smith	RD
2	17764076	Smith	RD
2	17888173	Smith	RD
2	18088075	Smith	R
2	18634676	Smith	R
2	19167056	Smith	RD
2	19926697	Smith	RD
2	20050225	Smith	RD
2	20181759	Smith	RD
2	21708419	Smith	RD
2	21767892	Smith	R
2	22915772	Smith	R
2	22997330	Smith	R
2	23822177	Smith	RD
2	24034487	Smith	RD
3	23589651	Smith	R
3	23746733	Smith	R
3	23825371	Smith	R
3	23883475	Smith	R
3	23894105	Smith	R
3	24273217	Smith	R
4	12739402	Smith	R
4	15967669	Smith	R
4	15968465	Smith	R
4	16987871	Smith	R
4	17877635	Smith	R
4	19628478	Smith	R
5	22902879	Smith	R
5	24416446	Smith	R
6	18577249	Smith	R
6	18625056	Smith	R
7	11001110	Smith	R
7	16510667	Smith	R
7	22592486	Smith	R
8	9143231	Nakamura	H
8	9423582	Nakamura	H
8	9530232	Nakamura	H
8	9802135	Nakamura	H
8	9841809	Nakamura	H
8	10838124	Nakamura	H
8	10940201	Nakamura	H
8	11259079	Nakamura	H
8	15181460	Nakamura	H
8	15316147	Nakamura	H
8	17135764	Nakamura	H
10	11199992	Nakamura	H
10	12811457	Nakamura	H
10	16987650	Nakamura	H
10	17716613	Nakamura	H
10	17717645	Nakamura	H
10	17717646	Nakamura	H
10	17726603	Nakamura	H
10	17768044	Nakamura	H
10	17936112	Nakamura	H
10	18004516	Nakamura	H
10	18550356	Nakamura	H
10	18558133	Nakamura	H
10	19071604	Nakamura	H
11	11267959	Nakamura	H
11	12140139	Nakamura	H
11	12455054	Nakamura	H
11	12767093	Nakamura	H
11	12796398	Nakamura	H
11	12883686	Nakamura	H
11	14666616	Nakamura	H
11	14767520	Nakamura	H
11	15013584	Nakamura	H
11	15112487	Nakamura	H
11	15293157	Nakamura	H
11	15706411	Nakamura	H
11	15756281	Nakamura	H
11	15770690	Nakamura	H
11	16100185	Nakamura	H
11	16284218	Nakamura	H
11	16401982	Nakamura	H
11	16987564	Nakamura	H
